City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Mareeba,AU,-17.0,145.4333,84.43,56,83,8.25,broken clouds
276,Poltavka,RU,54.3663,71.7632,27.95,88,100,12.08,overcast clouds
277,Tasiilaq,GL,65.6145,-37.6368,28.38,84,100,6.96,overcast clouds
278,Marawi,PH,7.9986,124.2928,79.9,68,97,4.85,overcast clouds
279,Anito,PH,12.4497,125.2886,80.04,88,100,6.85,heavy intensity rain
280,Sorland,NO,67.667,12.6934,40.86,62,44,10.31,scattered clouds
281,Krasnorechenskiy,RU,44.6265,135.3532,34.97,36,6,12.86,clear sky
282,Bratsk,RU,56.1325,101.6142,23.49,86,98,10.69,overcast clouds
283,Nouadhibou,MR,20.931,-17.0347,66.18,88,64,10.36,broken clouds
284,Mapiripan,CO,2.8892,-72.1256,74.28,92,100,2.71,overcast clouds
285,Taman,RU,45.2117,36.7161,50.13,80,8,12.91,clear sky
286,Port-Gentil,GA,-0.7193,8.7815,77.05,89,100,9.71,heavy intensity rain
287,Sayyan,YE,15.1718,44.3244,51.46,37,3,3.02,clear sky
288,Banikoara,BJ,11.2985,2.4386,75.27,34,0,3.24,clear sky
289,Samfya,ZM,-11.3649,29.5565,65.39,85,100,4.43,light rain
290,Alofi,NU,-19.0595,-169.9187,82.29,65,40,16.11,scattered clouds
291,Xiongzhou,CN,25.1167,114.3,74.39,70,69,0.67,broken clouds
292,Davidson,US,36.1501,-86.7833,66.36,59,0,4.0,clear sky
293,Bibiani,GH,6.4635,-2.3194,71.82,97,95,1.28,overcast clouds
294,Norman Wells,CA,65.282,-126.8329,10.44,85,40,4.61,scattered clouds
295,Laguna,US,38.421,-121.4238,54.75,71,75,6.91,broken clouds
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.75,86,100,4.32,moderate rain
297,Moose Jaw,CA,50.4001,-105.5344,7.05,78,100,6.91,overcast clouds
298,Karoi,ZW,-16.8099,29.6925,65.25,69,97,4.32,overcast clouds
299,Pierre,US,44.3683,-100.351,32.92,92,100,13.8,snow
300,Cabo San Lucas,MX,22.8909,-109.9124,77.61,65,40,5.99,scattered clouds
301,Bereda,ES,43.2686,-7.5406,55.42,100,85,2.28,overcast clouds
302,Kopidlno,CZ,50.3308,15.2703,47.23,97,100,3.22,light rain
303,Saint-Pierre,RE,-21.3393,55.4781,75.56,60,0,6.91,clear sky
304,Rawson,AR,-43.3002,-65.1023,66.58,62,100,15.99,overcast clouds
305,Nyurba,RU,63.2842,118.3319,19.47,93,100,9.15,overcast clouds
306,Altay,CN,47.8667,88.1167,19.62,53,79,4.7,broken clouds
307,Pemangkat,ID,1.1667,108.9667,81.73,76,100,6.24,overcast clouds
308,Fairbanks,US,64.8378,-147.7164,20.61,92,100,0.0,overcast clouds
309,San Patricio,US,28.017,-97.5169,78.66,73,25,9.31,scattered clouds
310,Twin Falls,US,42.3505,-114.6445,26.94,93,100,12.66,mist
311,Half Moon Bay,US,37.4636,-122.4286,55.78,77,75,13.8,broken clouds
312,Emerald,AU,-23.5333,148.1667,79.34,44,100,9.57,overcast clouds
313,Kondoa,TZ,-4.9,35.7833,60.33,93,99,5.08,overcast clouds
314,Bonthe,SL,7.5264,-12.505,77.94,82,1,3.09,light rain
315,Slave Lake,CA,55.2834,-114.769,6.78,78,0,6.91,clear sky
316,Totma,RU,59.9747,42.7642,41.52,98,100,6.55,overcast clouds
317,Valdivia,CL,-39.8142,-73.2459,57.29,99,99,1.77,overcast clouds
318,Dicabisagan,PH,17.0818,122.4157,84.87,71,21,4.83,few clouds
319,Upernavik,GL,72.7868,-56.1549,5.72,74,100,5.86,overcast clouds
320,Iqaluit,CA,63.7506,-68.5145,10.13,79,100,8.05,light snow
321,Kodinsk,RU,58.6881,99.1844,22.73,85,100,8.66,overcast clouds
322,Mogadouro,PT,41.3403,-6.7119,48.25,86,87,1.3,overcast clouds
323,Gogrial,SS,8.5332,28.1004,75.4,51,100,3.98,overcast clouds
324,Teacapan,MX,22.55,-105.75,74.73,82,0,7.49,clear sky
325,Goderich,CA,43.7501,-81.7165,56.91,38,81,11.5,broken clouds
326,Enniskerry,IE,53.1925,-6.1692,58.05,79,91,20.0,overcast clouds
327,Milkovo,RU,54.7167,158.6167,24.03,76,100,0.54,overcast clouds
328,Smithers,CA,54.7804,-127.1743,12.52,73,75,4.61,broken clouds
329,Flinders,AU,-34.5833,150.8552,72.37,64,48,13.04,scattered clouds
330,Manaus,BR,-3.1019,-60.025,84.69,65,0,3.44,clear sky
331,El Paso,US,31.8001,-106.2005,71.94,22,0,14.97,clear sky
332,Tarakan,ID,3.3,117.6333,85.5,74,40,6.91,scattered clouds
333,Skjervoy,NO,70.0311,20.9714,33.8,72,0,19.64,clear sky
334,Esil,KZ,51.9556,66.4042,31.19,90,100,14.79,overcast clouds
335,Skagen,DK,57.7209,10.5839,52.88,81,25,18.03,scattered clouds
336,Howard Springs,AU,-12.497,131.047,92.98,67,21,5.66,few clouds
337,Tiksi,RU,71.6872,128.8694,-10.84,97,99,8.57,overcast clouds
338,Disna,BY,55.568,28.1971,46.35,84,100,10.25,overcast clouds
339,Paragominas,BR,-2.9667,-47.4833,74.44,86,93,3.56,overcast clouds
340,Weihe,CN,32.9952,105.3247,54.09,96,100,4.09,overcast clouds
